n;k;algorithm;bush;time;success
5;4;gen;2;0,0004;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0012;True
5;4;gen;2;0,0009;True
5;4;gen;2;0,0031;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0004;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0017;True
5;4;gen;2;0,0004;True
5;4;gen;2;0,0037;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0008;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0004;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0004;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0347;True
5;4;gen;2;0,0028;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0034;True
5;4;gen;2;0,0009;True
5;4;gen;2;0,0004;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0009;True
5;4;gen;2;0,002;True
5;4;gen;2;0,0014;True
5;4;gen;2;0,0033;True
5;4;gen;2;0,002;True
5;4;gen;2;0,0008;True
5;4;gen;2;0,0035;True
5;4;gen;2;0,002;True
5;4;gen;2;0,0002;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0002;True
5;4;gen;2;0,0002;True
5;4;gen;2;0,0004;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0076;True
5;4;gen;2;0,0035;True
5;4;gen;2;0,001;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0011;True
5;4;gen;2;0,0008;True
5;4;gen;2;0,0002;True
5;4;gen;2;0,0013;True
5;4;gen;2;0,022;True
5;4;gen;2;0,0025;True
5;4;gen;2;0,0009;True
5;4;gen;2;0,0006;True
5;4;gen;2;0,0029;True
5;4;gen;2;0,0004;True
5;4;gen;2;0,0021;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0002;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0032;True
5;4;gen;2;0,0007;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0033;True
5;4;gen;2;0,0006;True
5;4;gen;2;0,0018;True
5;4;gen;2;0,0007;True
5;4;gen;2;0,001;True
5;4;gen;2;0,0014;True
5;4;gen;2;0,0018;True
5;4;gen;2;0,0004;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0015;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0002;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0002;True
5;4;gen;2;0,0004;True
5;4;gen;2;0,0029;True
5;4;gen;2;0,0009;True
5;4;gen;2;0,0034;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0032;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0004;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,001;True
5;4;gen;2;0,0122;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0002;True
5;4;gen;2;0,0003;True
5;4;gen;2;0,0003;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0011;True
5;4;gen;3;0,001;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0011;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0005;True
5;4;gen;3;0,0022;True
5;4;gen;3;0,0002;True
5;4;gen;3;0,0009;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0053;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0038;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0007;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0005;True
5;4;gen;3;0,0005;True
5;4;gen;3;0,0005;True
5;4;gen;3;0,0008;True
5;4;gen;3;0,0002;True
5;4;gen;3;0,0009;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0015;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0015;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0009;True
5;4;gen;3;0,0005;True
5;4;gen;3;0,0002;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0002;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0011;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,001;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,001;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0009;True
5;4;gen;3;0,0002;True
5;4;gen;3;0,0018;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0005;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0002;True
5;4;gen;3;0,0008;True
5;4;gen;3;0,0002;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0081;True
5;4;gen;3;0,0011;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0017;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0101;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,002;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0014;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0002;True
5;4;gen;3;0,0025;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0004;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0002;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0025;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0008;True
5;4;gen;3;0,0013;True
5;4;gen;3;0,0003;True
5;4;gen;3;0,0008;True
5;4;gen;3;0,001;True
5;4;gen;3;0,0005;True
5;4;gen;5;0,0011;True
5;4;gen;5;0,0018;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0005;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0005;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0005;True
5;4;gen;5;0,0022;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0006;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0005;True
5;4;gen;5;0,0005;True
5;4;gen;5;0,0006;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0002;True
5;4;gen;5;0,0006;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0026;True
5;4;gen;5;0,0005;True
5;4;gen;5;0,0018;True
5;4;gen;5;0,0009;True
5;4;gen;5;0,0045;True
5;4;gen;5;0,0018;True
5;4;gen;5;0,0005;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0005;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0016;True
5;4;gen;5;0,0011;True
5;4;gen;5;0,0005;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0008;True
5;4;gen;5;0,0005;True
5;4;gen;5;0,0009;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0014;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0028;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0026;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0005;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0012;True
5;4;gen;5;0,0023;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0008;True
5;4;gen;5;0,0002;True
5;4;gen;5;0,0009;True
5;4;gen;5;0,0047;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0196;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0002;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0005;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0016;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0018;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0003;True
5;4;gen;5;0,0004;True
5;4;gen;5;0,0003;True
5;6;gen;2;0,0012;True
5;6;gen;2;0,0009;True
5;6;gen;2;0,0008;True
5;6;gen;2;0,002;True
5;6;gen;2;0,0009;True
5;6;gen;2;0,0016;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,003;True
5;6;gen;2;0,0005;True
5;6;gen;2;0,0025;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0009;True
5;6;gen;2;0,0008;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0054;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0004;True
5;6;gen;2;0,0004;True
5;6;gen;2;0,0018;True
5;6;gen;2;0,0014;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0002;True
5;6;gen;2;0,0013;True
5;6;gen;2;0,0002;True
5;6;gen;2;0,0004;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0016;True
5;6;gen;2;0,0069;True
5;6;gen;2;0,0004;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0004;True
5;6;gen;2;0,0009;True
5;6;gen;2;0,0005;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0002;True
5;6;gen;2;0,0004;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0002;True
5;6;gen;2;0,0004;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0015;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0002;True
5;6;gen;2;0,0025;True
5;6;gen;2;0,0004;True
5;6;gen;2;0,0021;True
5;6;gen;2;0,0053;True
5;6;gen;2;0,0013;True
5;6;gen;2;0,0008;True
5;6;gen;2;0,0017;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0053;True
5;6;gen;2;0,0015;True
5;6;gen;2;0,002;True
5;6;gen;2;0,0004;True
5;6;gen;2;0,0014;True
5;6;gen;2;0,0005;True
5;6;gen;2;0,0002;True
5;6;gen;2;0,0013;True
5;6;gen;2;0,0011;True
5;6;gen;2;0,0009;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0016;True
5;6;gen;2;0,0012;True
5;6;gen;2;0,0005;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0015;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0004;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0002;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0002;True
5;6;gen;2;0,0004;True
5;6;gen;2;0,0004;True
5;6;gen;2;0,0019;True
5;6;gen;2;0,0002;True
5;6;gen;2;0,0013;True
5;6;gen;2;0,0015;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0008;True
5;6;gen;2;0,0002;True
5;6;gen;2;0,0009;True
5;6;gen;2;0,001;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0004;True
5;6;gen;2;0,0002;True
5;6;gen;2;0,0014;True
5;6;gen;2;0,0003;True
5;6;gen;2;0,0004;True
5;6;gen;2;0,0004;True
5;6;gen;2;0,0028;True
5;6;gen;2;0,0003;True
5;6;gen;3;0,0002;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0036;True
5;6;gen;3;0,0017;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0002;True
5;6;gen;3;0,0005;True
5;6;gen;3;0,001;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0002;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0015;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0005;True
5;6;gen;3;0,0017;True
5;6;gen;3;0,0019;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0009;True
5;6;gen;3;0,0005;True
5;6;gen;3;0,0016;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0008;True
5;6;gen;3;0,0016;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0008;True
5;6;gen;3;0,001;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0016;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0009;True
5;6;gen;3;0,0008;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0002;True
5;6;gen;3;0,0009;True
5;6;gen;3;0,0031;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0014;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0008;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0002;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,001;True
5;6;gen;3;0,0005;True
5;6;gen;3;0,0002;True
5;6;gen;3;0,0009;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0005;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0052;True
5;6;gen;3;0,0008;True
5;6;gen;3;0,0041;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0005;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0011;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0011;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,006;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0002;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0002;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0002;True
5;6;gen;3;0,0049;True
5;6;gen;3;0,0004;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0003;True
5;6;gen;3;0,0046;True
5;6;gen;3;0,0003;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0002;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,001;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,001;True
5;6;gen;5;0,0006;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0312;True
5;6;gen;5;0,001;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0008;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0011;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0009;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0002;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0017;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0009;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,001;True
5;6;gen;5;0,0009;True
5;6;gen;5;0,0011;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0006;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0012;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0009;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0002;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,001;True
5;6;gen;5;0,0007;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0002;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0009;True
5;6;gen;5;0,0013;True
5;6;gen;5;0,0008;True
5;6;gen;5;0,0006;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0039;True
5;6;gen;5;0,0003;True
5;6;gen;5;0,0005;True
5;6;gen;5;0,0004;True
5;6;gen;5;0,0002;True
5;6;gen;5;0,0004;True
5;10;gen;2;0,0008;True
5;10;gen;2;0,0023;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0017;True
5;10;gen;2;0,0016;True
5;10;gen;2;0,0002;True
5;10;gen;2;0,0009;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0072;True
5;10;gen;2;0,0002;True
5;10;gen;2;0,001;True
5;10;gen;2;0,0002;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0032;True
5;10;gen;2;0,0016;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0021;True
5;10;gen;2;0,0015;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0012;True
5;10;gen;2;0,0048;True
5;10;gen;2;0,0011;True
5;10;gen;2;0,0007;True
5;10;gen;2;0,0023;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0002;True
5;10;gen;2;0,0014;True
5;10;gen;2;0,0028;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0051;True
5;10;gen;2;0,0016;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0027;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0036;True
5;10;gen;2;0,0011;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0325;True
5;10;gen;2;0,0005;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0031;True
5;10;gen;2;0,0009;True
5;10;gen;2;0,0022;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0024;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0006;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0009;True
5;10;gen;2;0,0009;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0094;True
5;10;gen;2;0,0002;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0011;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0017;True
5;10;gen;2;0,0011;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0034;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0004;True
5;10;gen;2;0,001;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0003;True
5;10;gen;2;0,0056;True
5;10;gen;2;0,0018;True
