n;k;algorithm;bush;time;success
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0002;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0002;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0002;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0002;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0002;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0002;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0002;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0002;True
5;4;Astr;2;0,0;False
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0002;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0;False
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;2;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0002;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0002;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0002;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0002;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0002;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;3;0,0001;True
5;4;Astr;3;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0002;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0002;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0002;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0002;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;4;Astr;5;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0002;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0002;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0002;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0002;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0002;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0002;True
5;6;Astr;2;0,0003;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;False
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;2;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0002;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0002;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0002;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0002;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0001;True
5;6;Astr;3;0,0;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0002;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0002;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0002;True
5;6;Astr;5;0,0002;True
5;6;Astr;5;0,0004;True
5;6;Astr;5;0,0002;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0002;True
5;6;Astr;5;0,0;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;6;Astr;5;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0003;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0002;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0002;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0001;True
5;10;Astr;2;0,0;False
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0002;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0002;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0002;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;3;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0;True
5;10;Astr;5;0,0;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0001;True
5;10;Astr;5;0,0;True
5;10;Astr;5;0,0001;True
